id,predicted,actual
3469,1,1
3469,1,0
3469,0,0
3469,1,1
3469,1,1
3469,1,1
3470,0,0
3470,0,0
3470,0,0
3470,0,0
3470,0,0
3470,0,0
3474,1,0
3474,0,0
3474,0,0
3474,0,0
3474,2,2
3474,2,1
3475,1,0
3475,1,1
3475,0,0
3475,0,0
3475,0,0
3475,0,0
3476,0,0
3476,0,0
3476,1,1
3476,0,0
3476,1,1
3476,0,0
3477,1,1
3477,1,0
3477,0,0
3477,0,0
3477,0,0
3477,0,0
3478,1,1
3478,1,1
3478,0,0
3478,0,0
3478,0,0
3478,1,1
3482,0,0
3482,0,0
3482,0,0
3482,1,1
3482,1,1
3482,0,0
3483,0,0
3483,0,0
3483,0,0
3483,0,0
3483,1,1
3483,0,0
3484,1,1
3484,0,0
3484,0,0
3484,0,0
3484,0,0
3484,0,0
3486,0,0
3486,0,0
3486,0,0
3486,0,0
3486,1,1
3486,0,0
3487,0,0
3487,1,1
3487,0,0
3487,0,0
3487,0,0
3487,1,1
3488,1,1
3488,1,1
3488,0,0
3488,1,1
3488,1,1
3488,0,0
3489,0,0
3489,2,0
3489,0,0
3489,0,0
3489,0,0
3489,2,2
3490,1,1
3490,0,0
3490,0,0
3490,0,0
3490,0,0
3490,0,0
3491,0,0
3491,0,0
3491,0,0
3491,0,0
3491,2,2
3491,0,0
3493,1,1
3493,1,1
3493,0,0
3493,0,0
3493,1,1
3493,1,2
3494,0,0
3494,0,0
3494,0,0
3494,0,0
3494,2,0
3494,2,2
3496,0,0
3496,0,0
3496,0,0
3496,2,2
3496,2,2
3496,0,0
3497,1,1
3497,0,0
3497,0,0
3497,0,0
3497,0,0
3497,0,0
3499,0,0
3499,0,0
3499,0,0
3499,0,0
3499,2,2
3499,0,0
3500,0,0
3500,0,0
3500,0,0
3500,0,0
3500,2,2
3500,0,0
3502,0,0
3502,1,1
3502,0,0
3502,0,0
3502,0,0
3502,0,0
3503,1,1
3503,1,0
3503,0,0
3503,0,0
3503,0,1
3503,0,0
3504,0,0
3504,0,0
3504,0,0
3504,2,2
3504,2,2
3504,2,2
3505,1,1
3505,0,0
3505,0,0
3505,0,0
3505,0,0
3505,0,0
3506,0,0
3506,0,0
3506,0,0
3506,0,0
3506,2,0
3506,2,2
3507,1,1
3507,1,0
3507,0,0
3507,0,0
3507,0,0
3507,0,0
3508,1,1
3508,0,0
3508,0,0
3508,0,0
3508,0,0
3508,0,0
3511,1,1
3511,1,1
3511,0,0
3511,1,1
3511,1,1
3511,0,0
3512,0,0
3512,0,0
3512,0,0
3512,0,0
3512,2,2
3512,0,0
3513,0,0
3513,0,0
3513,0,0
3513,0,0
3513,2,2
3513,0,0
3515,1,2
3515,0,0
3515,0,0
3515,0,0
3515,0,0
3515,0,0
3516,1,1
3516,0,0
3516,0,0
3516,0,0
3516,1,1
3516,0,0
3517,0,0
3517,0,0
3517,0,0
3517,0,0
3517,1,1
3517,0,0
3519,2,1
3519,0,0
3519,0,0
3519,0,0
3519,2,1
3519,1,2
3522,2,2
3522,0,0
3522,0,0
3522,0,0
3522,0,0
3522,0,0
3523,1,1
3523,1,0
3523,0,0
3523,1,1
3523,1,1
3523,0,0
3524,0,0
3524,0,0
3524,0,0
3524,0,0
3524,1,0
3524,0,0
3525,0,0
3525,0,0
3525,0,0
3525,0,0
3525,1,1
3525,0,0
3527,0,0
3527,1,1
3527,0,0
3527,0,0
3527,1,0
3527,0,0
3528,1,1
3528,0,0
3528,0,0
3528,0,0
3528,0,0
3528,0,0
3530,1,1
3530,1,1
3530,1,0
3530,1,0
3530,1,1
3530,1,1
3531,1,1
3531,1,1
3531,0,0
3531,0,0
3531,1,1
3531,0,0
3532,0,0
3532,0,0
3532,0,0
3532,0,0
3532,1,1
3532,0,0
3533,1,1
3533,1,0
3533,1,1
3533,0,0
3533,0,0
3533,0,0
3534,0,0
3534,1,1
3534,0,0
3534,0,0
3534,0,0
3534,0,0
3535,2,2
3535,0,0
3535,0,0
3535,0,0
3535,0,0
3535,0,0
3537,0,0
3537,0,0
3537,0,0
3537,0,0
3537,1,0
3537,1,1
3538,1,1
3538,0,0
3538,0,0
3538,0,0
3538,0,0
3538,0,0
3539,0,0
3539,0,0
3539,0,0
3539,2,2
3539,2,2
3539,0,0
3541,0,0
3541,0,0
3541,0,0
3541,0,0
3541,2,2
3541,0,0
3543,1,1
3543,0,0
3543,0,0
3543,0,0
3543,0,0
3543,0,0
3544,0,0
3544,0,0
3544,0,0
3544,0,0
3544,2,2
3544,0,0
3545,0,0
3545,1,1
3545,0,0
3545,0,0
3545,0,0
3545,0,0
3546,0,0
3546,1,0
3546,0,0
3546,0,0
3546,0,1
3546,0,0
3547,1,1
3547,0,0
3547,0,0
3547,0,0
3547,0,0
3547,0,0
3548,1,1
3548,0,0
3548,1,1
3548,0,0
3548,0,0
3548,0,0
3549,0,0
3549,0,0
3549,0,0
3549,0,0
3549,2,0
3549,0,0
3552,0,0
3552,1,1
3552,0,0
3552,0,0
3552,0,0
3552,0,0
3553,1,1
3553,0,0
3553,0,0
3553,0,0
3553,0,0
3553,0,0
3554,0,1
3554,1,1
3554,0,0
3554,0,0
3554,1,1
3554,0,0
3555,1,1
3555,0,0
3555,0,0
3555,0,0
3555,1,1
3555,0,0
3556,0,0
3556,0,0
3556,0,0
3556,0,0
3556,0,0
3556,2,2
3557,0,0
3557,0,0
3557,0,0
3557,0,0
3557,2,2
3557,0,0
3558,0,0
3558,0,0
3558,0,0
3558,0,0
3558,1,1
3558,0,0
3559,0,0
3559,0,0
3559,0,0
3559,0,0
3559,0,1
3559,0,0
3560,1,1
3560,0,0
3560,0,0
3560,0,0
3560,0,0
3560,0,0
3563,2,1
3563,0,0
3563,0,0
3563,0,0
3563,2,2
3563,2,0
3564,1,1
3564,1,1
3564,1,1
3564,0,0
3564,0,0
3564,1,1
3565,0,0
3565,1,1
3565,0,0
3565,0,0
3565,0,0
3565,0,0
3566,2,2
3566,0,0
3566,0,0
3566,0,0
3566,0,0
3566,0,0
3567,1,1
3567,0,0
3567,0,0
